# ----------------------------------------
# Обычный поисковый трафик Google: Целевая страница + строка запроса
# Аккаунт: Mr.Car
# Ресурс: Mr.car
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250901
# Дата окончания: 20260304
Целевая страница + строка запроса,Клики по результатам обычного поиска Google,Показы в обычном поиске Google,CTR для кликов по результатам обычного поиска Google,Средняя позиция в результатах обычного поиска Google,Активные пользователи,Сеансы с взаимодействием,Доля взаимод.,Среднее время взаимодействия на активного пользователя,Количество событий,Ключевые события,Доход от объявления
/?fbclid=IwY2xjawQTtKpleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR7If9OcZ5Y9vqc29D1eA4CUcVFPqQLDJGS5Ek7oE3qDggwYMPJF2_-PargqaQ_aem_fhwhwG3gwUIAvqde6LA41w,0,0,0,0,1,0,0,0,3,0,0
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQKNjYyODU2ODM3OQABHg_NqzuDz164VKrYYCFYFoofYikLSU-WKVubZeR4xcsxkAQR0txCblKQ59HJ_aem_AUfKQ3jM58duabCU3Jc90g,0,0,0,0,1,0,0,0,3,0,0
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQKNjYyODU2ODM3OQABHoEJSRC3bT4LVwwoSpLLTiHhCvLXl_PJ-HTDgg-ecZRG2szf8AVOn2vyB3XV_aem_tZWuD7Dnjf9euiSZ5YhrTA,0,0,0,0,1,1,1,0,4,0,0
/?service=diagnostika,0,0,0,0,2,1,0.5,0.5,7,0,0
/?service=kaigukast,0,0,0,0,5,0,0,0,15,0,0
/?service=kliima,0,0,0,0,2,2,1,0,8,0,0
/?service=mootor,0,0,0,0,3,1,0.3333333333333333,0,10,0,0
/?service=olivahetus,0,0,0,0,3,2,0.6666666666666666,0,11,0,0
/?service=pidurid,0,0,0,0,7,2,0.2857142857142857,1.2857142857142858,23,0,0
/?service=rehvitood,0,0,0,0,1,1,1,0,4,0,0
/?service=sild,0,0,0,0,2,2,1,0,8,0,0
/?service=veermik,0,0,0,0,5,2,0.4,0,17,0,0
/?service=webasto,0,0,0,0,1,0,0,0,3,0,0
/?ved=2ahUKEwi-ksn9zuCQAxU81gIHHQGVIp4QgU96BAglEAQ,0,0,0,0,1,1,1,0,5,0,0
/?ved=2ahUKEwi1qcHlpfSQAxUzlMMKHSv8KgUQgU96BAgQEA8,0,0,0,0,1,1,1,0,6,0,0
/?ved=2ahUKEwi537Ppt8SRAxXgSFUIHdy4IjsQgU96BAgfEBM,0,0,0,0,1,1,1,397,38,0,0
/?ved=2ahUKEwi9sfel_uGRAxU6IBAIHRsVMUoQgU96BAghEBM,0,0,0,0,1,1,1,65,14,0,0
/?ved=2ahUKEwiBksKO89mSAxVlIxAIHTw7KiMQgU96BAghEBM,0,0,0,0,1,1,1,25,6,0,0
/?ved=2ahUKEwiQ5fKh8LiSAxVcIxAIHR0hEY8QgU96BAgrEBA,0,0,0,0,1,1,1,81,7,0,0
/?ved=2ahUKEwiZxNnbwdSRAxU8JRAIHYpGF9QQgU96BAgREBA,0,0,0,0,1,1,1,78,5,0,0
/?ved=2ahUKEwia9rSp_N-SAxUDUlUIHZBMLiYQgU96BAgaEBA,0,0,0,0,1,1,1,30,9,0,0
/?ved=2ahUKEwidxsyvoouRAxXKJRAIHWifPO4QgU96BAgmEBI,0,0,0,0,1,0,0,0,3,0,0
/?ved=2ahUKEwie3aPnuf6QAxWSTVUIHbYrKp8QgU96BAghEAs,0,0,0,0,1,1,1,0,4,0,0
/?ved=2ahUKEwih7drrhLmSAxXDExAIHbu_IMkQgU96BAgTEBA,0,0,0,0,1,1,1,3,6,0,0
/?ved=2ahUKEwihiaXr5f6QAxW4FBAIHemHO6gQgU96BAgcEBA,0,0,0,0,1,1,1,0,4,0,0
/?ved=2ahUKEwijwKqtqMeRAxUsTVUIHQPBJ7IQgU96BAgoEAs,0,0,0,0,1,1,1,60,5,0,0
/?ved=2ahUKEwiojeS_0emRAxWqIhAIHU9dNd0QgU96BQiVARAQ,0,0,0,0,1,0,0,0,3,0,0
/?ved=2ahUKEwip_viHku2RAxVmGBAIHfz1HIM4ChCBT3oECBcQEg,0,0,0,0,1,1,1,17,6,0,0
/?ved=2ahUKEwiqwLrYhZqSAxXNHhAIHVLDGJYQgU96BAhbEA8,0,0,0,0,0,0,0,0,2,0,0
/?ved=2ahUKEwiujvSk-vaQAxWUBhAIHeWmK_sQgU96BAgMEBA,0,0,0,0,1,0,0,0,3,0,0
/?ved=2ahUKEwiy-caArfqSAxWWORAIHTARKpYQgU96BQi0ARAQ,0,0,0,0,1,1,1,114,7,0,0
/?ved=2ahUKEwj-sa3KjpqSAxWhFxAIHWKcAG4QgU96BAgQEBA,0,0,0,0,1,1,1,41,10,0,0
/?ved=2ahUKEwj-z9a5we2RAxWWTVUIHcBqAhYQgU96BAgdEBM,0,0,0,0,1,1,1,242,11,0,0
/?ved=2ahUKEwj35M3xso-QAxUlRPEDHeIfCr4QgU96BAgkEBA,0,0,0,0,1,1,1,0,12,0,0
/?ved=2ahUKEwjE6M_dzMOQAxUPMxAIHYPOLJYQgU96BAgQEBA,0,0,0,0,1,0,0,0,3,0,0
/?ved=2ahUKEwjO6pnorYeRAxXIGBAIHZQ8Fw8QgU96BAgQEBA,0,0,0,0,1,1,1,0,4,0,0
/?ved=2ahUKEwjR2teO-8GRAxWtIRAIHWaDJF0QgU96BQigARAQ,0,0,0,0,1,1,1,10,7,0,0
/?ved=2ahUKEwjT0qSVncCQAxXhJBAIHX-VL9gQgU96BAgtEAo,0,0,0,0,1,1,1,4,9,0,0
/?ved=2ahUKEwje2Oqg3t-SAxVwIhAIHT4aJvoQgU96BAgWEBA,0,0,0,0,1,1,1,11,7,0,0
/?ved=2ahUKEwji5dOJr9mQAxV3UFUIHTKwF9QQgU96BAgaEA8,0,0,0,0,1,0,0,0,3,0,0
/?ved=2ahUKEwjikJqjwoiSAxWTGxAIHWEgKk8QgU96BAh1EA8,0,0,0,0,1,1,1,23,8,0,0
/?ved=2ahUKEwjkkLHo7_2RAxU0PRAIHZlpAfAQgU96BAglEBA,0,0,0,0,1,1,1,41,6,0,0
/?ved=2ahUKEwjkqJHft7OSAxVLTVUIHfkaNOsQgU96BAgaEBA,0,0,0,0,1,1,1,71,7,0,0
/?ved=2ahUKEwjm98a6nL-SAxUzKRAIHS3mD0sQgU96BAgcEBA,0,0,0,0,1,1,1,15,7,0,0
/?ved=2ahUKEwjqrIqUh9aQAxX1GxAIHSWfFy4QgU96BAgOEBA,0,0,0,0,1,1,1,0,5,0,0
/?ved=2ahUKEwjrs4uPs5KRAxWCgSoKHSLiCH8QgU96BQisARAQ,0,0,0,0,1,0,0,0,3,0,0
/?ved=2ahUKEwjzqOXAkMOSAxU1NxAIHa8ADM8QgU96BAgWEA8,0,0,0,0,1,1,1,12,6,0,0
/ru/teenused/mootori-ja-kaigukasti-remont,0,0,0,0,1,0,0,0,2,0,0
/ru/teenused/webasto-remont/webasto-lisa-info,0,0,0,0,1,1,1,0,5,0,0
/ru/uslugi,0,0,0,0,2,0,0,0,4,0,0
