"URL-адрес страницы",Ошибки,"Общий траффик","Код ответа сервера страницы","Можно проиндексировать","Статус индексируемости","Ссылающиеся страницы",Глубина,"Ключевых слов","Протокол URL",Блокировка,Title,"Длина Title","Длина Description","Каноническая ссылка",H1,"Длина H1","Единственный H1","Дублирующийся H1",H2,"Длина H2","Единственный H2","Время переадресации Refresh",Nofollow/Dofollow,"Внутренние ссылки на страницу",Dofollow-ссылки,"Внутренние ссылки со страницы","Внешние ссылки со страницы"
https://www.mrcar.ee/,6,34,200,Да,Ок,57,1,37,https,Нет,"Autoremont Tallinnas — Mr.Car Autoteenindus | Diagnostika, Rehvitööd, Hooldus",77,197,https://www.mrcar.ee/,"Mr.Car autoremont Tallinn",25,Да,Нет,"Professionaalne autoremont ja autohooldus Tallinnas",51,Нет,,Dofollow,172,172,62,6
https://www.mrcar.ee/privaatsus,4,,200,Да,Ок,47,2,,https,Нет,"Privaatsuspoliitika — Mr.Car",28,,,Privaatsuspoliitika,19,Да,Нет,"1. Kogutavad andmed",19,Нет,,Dofollow,47,47,22,0
https://www.mrcar.ee/ru/services/rehvitood,8,,200,Да,Ок,19,1,,https,Нет,"Шиномонтаж в Таллинне — Mr.Car | от €20",39,117,https://www.mrcar.ee/ru/services/rehvitood,Шиномонтаж,10,Да,Нет,"Шиномонтаж в Mr.Car",19,Нет,,Dofollow,22,22,25,4
https://www.mrcar.ee/services/webasto-diagnostika,9,,200,Да,Ок,19,2,,https,Нет,,,,,"Webasto diagnostika ja remont Tallinnas",39,Да,Нет,"Broneeri aeg",12,Нет,,Dofollow,27,27,36,2
https://www.mrcar.ee/ru/tseny,6,,200,Да,Ок,19,1,,https,Нет,"Цены — Автосервис Mr.Car в Таллинне | Ремонт, Диагностика, Шиномонтаж",69,145,https://www.mrcar.ee/ru/tseny,Цены,4,Да,Нет,Записаться,10,Да,,Dofollow,31,31,31,1
https://www.mrcar.ee/en/prices,6,,200,Да,Ок,17,1,,https,Нет,"Prices — Mr.Car Auto Service in Tallinn | Repair, Diagnostics, Tires",68,147,https://www.mrcar.ee/en/prices,Prices,6,Да,Нет,"Book an                     Appointment",39,Да,,Dofollow,28,28,31,1
https://www.mrcar.ee/ru/privaatsus,4,,200,Да,Ок,7,3,,https,Нет,"Политика конфиденциальности — Mr.Car",36,,https://www.mrcar.ee/ru/privaatsus,"Политика конфиденциальности",27,Да,Нет,"1. Собираемые данные",20,Нет,,Dofollow,7,7,23,0
https://www.mrcar.ee/services/webasto-sumptomid,9,,200,Да,Ок,1,3,,https,Нет,,,,,"Webasto sümptomid ja vead",25,Да,Нет,"Millal tasub Webasto üle kontrollida?",37,Нет,,Dofollow,3,3,37,2
https://www.mrcar.ee/ru/services/shinomontazh,7,,200,Да,Ок,0,1,,https,Нет,"Шиномонтаж в Таллинне — Mr.Car | от €20",39,112,https://www.mrcar.ee/ru/services/shinomontazh,"Шиномонтажные работы",20,Да,Нет,"Шиномонтаж в Mr.Car",19,Нет,,Dofollow,3,3,33,3
