"URL-адрес страницы",Ошибки,"Общий траффик","Код ответа сервера страницы","Можно проиндексировать","Статус индексируемости","Ссылающиеся страницы",Глубина,"Ключевых слов","Протокол URL",Блокировка,Title,"Длина Title","Длина Description","Каноническая ссылка",H1,"Длина H1","Единственный H1","Дублирующийся H1",H2,"Длина H2","Единственный H2","Время переадресации Refresh",Nofollow/Dofollow,"Внутренние ссылки на страницу",Dofollow-ссылки,"Внутренние ссылки со страницы","Внешние ссылки со страницы"
https://www.mrcar.ee/,8,34,200,Да,Ок,55,1,37,https,Нет,"Autoremont Tallinnas — Mr.Car Autoteenindus | Diagnostika, Rehvitööd, Hooldus",77,197,https://www.mrcar.ee/,"Mr.Carautoremont Tallinn",24,Да,Нет,"Professionaalne autoremont ja autohooldus Tallinnas",51,Нет,,Dofollow,167,167,62,6
https://www.mrcar.ee/hinnad,8,3,200,Да,Ок,12,2,5,https,Нет,"Hinnakiri — Mr.Car Autoteenindus Tallinnas | Remont, Diagnostika, Rehvitööd",75,163,https://www.mrcar.ee/hinnad,Hinnakiri,9,Да,Нет,"Broneeri aeg",12,Да,,Dofollow,23,23,31,1
https://www.mrcar.ee/ru,4,1,200,Да,Ок,12,1,22,https,Нет,"Mr.Car Авторемонт Таллинн — Профессиональное обслуживание авто",62,121,,"Mr.Carавторемонт Таллинн",24,Да,Нет,Полныйсервис,12,Нет,,Dofollow,14,14,46,3
https://www.mrcar.ee/teenused,7,1,200,Да,Ок,0,1,1,https,Нет,"Kõik autoteenused Tallinnas | Mr.Car Autoremont",47,118,https://www.mrcar.ee/teenused,"Kõik teenused",13,Да,Нет,,,Да,,Dofollow,9,9,44,0
https://www.mrcar.ee/ru/kontakt,6,0,200,Да,Ок,18,1,2,https,Нет,"Контакты — Mr.Car Autoteenindus Tallinnas",41,88,https://www.mrcar.ee/ru/kontakt,Контакты,8,Да,Нет,"Записатьсяна ремонт",19,Нет,,Dofollow,38,38,30,2
https://mrcar.ee/privaatsus/,1,,301,Нет,"Код состояния не 200",19,2,,https,Нет,,,,,,,Да,Нет,,,Да,,Dofollow,19,19,0,0
https://www.mrcar.ee/services/kaigukastiremont,6,,200,Да,Ок,19,1,,https,Нет,"Käigukasti remont Tallinnas — Automaatkast, DSG | Mr.Car",56,145,https://www.mrcar.ee/services/kaigukastiremont,"Käigukasti remont",17,Да,Нет,"Käigukasti remont Mr.Car-is",27,Нет,,Dofollow,32,32,25,4
https://www.mrcar.ee/privaatsus/,1,,301,Нет,"Код состояния не 200",19,2,,https,Нет,,,,,,,Да,Нет,,,Да,,Dofollow,19,19,0,0
https://www.mrcar.ee/services/mootoriremont,6,,200,Да,Ок,19,2,,https,Нет,"Mootori remont Tallinnas — Mr.Car Autoteenindus",47,122,https://www.mrcar.ee/services/mootoriremont,"Mootori remont",14,Да,Нет,"Mootori remont Mr.Car-is",24,Нет,,Dofollow,32,32,25,4
https://mrcar.ee/en/,1,,301,Нет,"Код состояния не 200",19,2,,https,Нет,,,,,,,Да,Нет,,,Да,,Dofollow,38,38,0,0
https://mrcar.ee/ru/,1,,301,Нет,"Код состояния не 200",19,2,,https,Нет,,,,,,,Да,Нет,,,Да,,Dofollow,38,38,0,0
https://www.mrcar.ee/ru/services/tehobsluzhivanie-diagnostika,6,,200,Да,Ок,18,1,,https,Нет,"Техническое обслуживание авто — Mr.Car Таллинн",46,142,https://www.mrcar.ee/ru/services/tehobsluzhivanie-diagnostika,"Техническое обслуживание",24,Да,Нет,"Техническое обслуживание в Mr.Car",33,Нет,,Dofollow,23,23,26,4
https://www.mrcar.ee/ru/services/webasto,6,,200,Да,Ок,18,1,,https,Нет,"Ремонт Webasto в Таллинне — Mr.Car | Диагностика и ТО",53,116,https://www.mrcar.ee/ru/services/webasto,"Ремонт и обслуживание Webasto",29,Да,Нет,"Ремонт Webasto в Mr.Car",23,Нет,,Dofollow,24,24,26,4
https://www.mrcar.ee/ru/services/klimat-konditsioner,6,,200,Да,Ок,18,1,,https,Нет,"Заправка кондиционера авто — Mr.Car Таллинн",43,126,https://www.mrcar.ee/ru/services/klimat-konditsioner,"Климат и кондиционер",20,Да,Нет,"Обслуживание кондиционера в Mr.Car",34,Нет,,Dofollow,24,24,25,4
https://www.mrcar.ee/ru/services/autoremont,6,,200,Да,Ок,18,1,,https,Нет,"Авторемонт в Таллинне — Mr.Car | Все виды работ",47,131,https://www.mrcar.ee/ru/services/autoremont,"Общий авторемонт",16,Да,Нет,"Авторемонт в Mr.Car",19,Нет,,Dofollow,25,25,25,4
https://www.mrcar.ee/ru/services/glushiteli-svarka,6,,200,Да,Ок,18,1,,https,Нет,"Ремонт глушителя, сварка — Mr.Car Таллинн",41,110,https://www.mrcar.ee/ru/services/glushiteli-svarka,"Глушители и сварочные работы",28,Да,Нет,"Ремонт глушителей и сварочные работы",36,Нет,,Dofollow,24,24,25,4
https://www.mrcar.ee/ru/services/hodovaya-tormoza,6,,200,Да,Ок,18,1,,https,Нет,"Ремонт ходовой и тормозов — Mr.Car Таллинн",42,133,https://www.mrcar.ee/ru/services/hodovaya-tormoza,"Ремонт ходовой и тормозов",25,Да,Нет,"Ремонт ходовой части автомобиля",31,Нет,,Dofollow,24,24,25,4
https://www.mrcar.ee/ru/services/rehvitood,9,,200,Да,Ок,18,1,,https,Нет,"Шиномонтаж в Таллинне — Mr.Car | от €20",39,117,https://www.mrcar.ee/ru/services/rehvitood,Шиномонтаж,10,Да,Нет,"Шиномонтаж в Mr.Car",19,Нет,,Dofollow,22,22,25,4
https://www.mrcar.ee/ru/services/proverka-pered-pokupkoy,6,,200,Да,Ок,18,1,,https,Нет,"Проверка авто перед покупкой — Mr.Car Таллинн | €80",51,126,https://www.mrcar.ee/ru/services/proverka-pered-pokupkoy,"Проверка авто перед покупкой",28,Да,Нет,"Проверка перед покупкой в Mr.Car",32,Нет,,Dofollow,24,24,25,4
https://www.mrcar.ee/ru/services/remont-kpp,6,,200,Да,Ок,18,1,,https,Нет,"Ремонт КПП в Таллинне — АКПП, DSG, МКПП | Mr.Car",48,129,https://www.mrcar.ee/ru/services/remont-kpp,"Ремонт КПП",10,Да,Нет,"Ремонт коробки передач в Mr.Car",31,Нет,,Dofollow,24,24,26,4
https://www.mrcar.ee/ru/tseny,7,,200,Да,Ок,18,2,,https,Нет,"Цены — Автосервис Mr.Car в Таллинне | Ремонт, Диагностика, Шиномонтаж",69,156,https://www.mrcar.ee/ru/tseny,Цены,4,Да,Нет,Записаться,10,Да,,Dofollow,31,31,31,1
https://www.mrcar.ee/ru/services/elektrika,6,,200,Да,Ок,18,1,,https,Нет,"Автоэлектрик в Таллинне — Mr.Car | Ремонт электрики авто",56,132,https://www.mrcar.ee/ru/services/elektrika,Автоэлектрика,13,Да,Нет,"Ремонт автоэлектрики в Mr.Car",29,Нет,,Dofollow,24,24,25,4
https://www.mrcar.ee/ru/services/remont-dvigatelya,6,,200,Да,Ок,18,1,,https,Нет,"Ремонт двигателя в Таллинне — Mr.Car Автосервис",47,125,https://www.mrcar.ee/ru/services/remont-dvigatelya,"Ремонт двигателя",16,Да,Нет,"Ремонт двигателя в Mr.Car",25,Нет,,Dofollow,24,24,25,4
https://www.mrcar.ee/ru/services/zamena-masla,6,,200,Да,Ок,18,1,,https,Нет,"Замена масла в Таллинне — Mr.Car | от €35",41,128,https://www.mrcar.ee/ru/services/zamena-masla,"Замена масла и фильтров",23,Да,Нет,"Замена масла в Mr.Car",21,Нет,,Dofollow,24,24,26,4
https://www.mrcar.ee/services/summutid-keevitus,6,,200,Да,Ок,18,1,,https,Нет,"Summuti remont, keevitustööd — Mr.Car Tallinn",45,97,https://www.mrcar.ee/services/summutid-keevitus,"Summutid ja keevitustööd",24,Да,Нет,"Summutite remont и keevitustööd",31,Нет,,Dofollow,29,29,25,4
