"URL-адрес страницы",Ошибки,"Общий траффик","Код ответа сервера страницы","Можно проиндексировать","Статус индексируемости","Ссылающиеся страницы",Глубина,"Ключевых слов","Протокол URL",Блокировка,Title,"Длина Title","Длина Description","Каноническая ссылка",H1,"Длина H1","Единственный H1","Дублирующийся H1",H2,"Длина H2","Единственный H2","Время переадресации Refresh",Nofollow/Dofollow,"Внутренние ссылки на страницу",Dofollow-ссылки,"Внутренние ссылки со страницы","Внешние ссылки со страницы"
https://www.mrcar.ee/privaatsus/,1,,301,Нет,"Код состояния не 200",17,2,,https,Нет,,,,,,,Да,Нет,,,Да,,Dofollow,17,17,0,0
https://www.mrcar.ee/services/webastehobsluzhivanie-diagnostika,1,,404,Нет,"Код состояния не 200",17,2,,https,Нет,"Page Not Found",14,,,"Page Not Found",14,Да,Нет,404,3,Да,,Dofollow,23,23,0,0
https://www.mrcar.ee/ru/privaatsus/,1,,301,Нет,"Код состояния не 200",7,3,,https,Нет,,,,,,,Да,Нет,,,Да,,Dofollow,7,7,0,0
http://www.mrcar.ee/,1,,301,Нет,"Код состояния не 200",3,3,,http,Нет,,,,,,,Да,Нет,,,Да,,Dofollow,3,3,0,0
