"URL-адрес страницы",Ошибки,"Общий траффик","Код ответа сервера страницы","Можно проиндексировать","Статус индексируемости","Ссылающиеся страницы",Глубина,"Ключевых слов","Протокол URL",Блокировка,Title,"Длина Title","Длина Description","Каноническая ссылка",H1,"Длина H1","Единственный H1","Дублирующийся H1",H2,"Длина H2","Единственный H2","Время переадресации Refresh",Nofollow/Dofollow,"Внутренние ссылки на страницу",Dofollow-ссылки,"Внутренние ссылки со страницы","Внешние ссылки со страницы"
https://www.mrcar.ee/hinnad,5,3,200,Нет,Non-canonical,12,3,5,https,Нет,"Hinnakiri — Mr.Car Autoteenindus Tallinnas | Remont, Diagnostika, Rehvitööd",75,163,https://www.mrcar.ee/prices.html,Hinnakiri,9,Да,Нет,"Broneeri aeg",12,Да,,Dofollow,14,14,31,1
https://www.mrcar.ee/teenused,5,1,200,Нет,Non-canonical,0,3,1,https,Нет,"Kõik autoteenused Tallinnas | Mr.Car Autoremont",47,118,https://www.mrcar.ee/teenused.html,"Kõik teenused",13,Да,Нет,,,Да,,Dofollow,0,0,44,0
https://www.mrcar.ee/ru/kontakt,5,0,200,Нет,Non-canonical,5,2,2,https,Нет,"Контакты — Mr.Car Autoteenindus Tallinnas",41,88,https://www.mrcar.ee/ru/kontakt.html,Контакты,8,Да,Нет,"Записатьсяна ремонт",19,Нет,,Dofollow,17,17,30,2
https://mrcar.ee/services/summutid-keevitus,4,,200,Нет,Non-canonical,18,2,,https,Нет,"Summuti remont, keevitustööd — Mr.Car Tallinn",45,97,https://www.mrcar.ee/services/summutid-keevitus,"Summutid ja keevitustööd",24,Да,Нет,"Summutite remont и keevitustööd",31,Нет,,Dofollow,20,20,25,4
https://mrcar.ee/services/veermik-pidurid,4,,200,Нет,Non-canonical,18,2,,https,Нет,"Vedrustuse ja pidurite remont — Mr.Car Tallinn",46,139,https://www.mrcar.ee/services/veermik-pidurid,"Vedrustuse ja pidurite remont",29,Да,Нет,"Vedrustuse remont Mr.Car-is",27,Нет,,Dofollow,22,22,25,4
https://mrcar.ee/services/rehvitood,4,,200,Нет,Non-canonical,18,2,,https,Нет,"Rehvitööd Tallinnas — Mr.Car | alates €20",41,130,https://www.mrcar.ee/services/rehvitood,Rehvitööd,9,Да,Нет,"Rehvitööd Mr.Car-is",19,Нет,,Dofollow,21,21,25,4
https://mrcar.ee/services/hooldus-diagnostika,5,,200,Нет,Non-canonical,18,2,,https,Нет,"Tehniline hooldus — Mr.Car Tallinn | Autoteenindus",50,130,https://www.mrcar.ee/services/hooldus-diagnostika,"Tehniline hooldus",17,Да,Нет,"Tehniline hooldus Mr.Car-is",27,Нет,,Dofollow,22,22,25,4
https://mrcar.ee/services/kaigukastiremont,4,,200,Нет,Non-canonical,18,2,,https,Нет,"Käigukasti remont Tallinnas — Automaatkast, DSG | Mr.Car",56,145,https://www.mrcar.ee/services/kaigukastiremont,"Käigukasti remont",17,Да,Нет,"Käigukasti remont Mr.Car-is",27,Нет,,Dofollow,22,22,25,4
https://mrcar.ee/services/elektritood,4,,200,Нет,Non-canonical,18,2,,https,Нет,"Autoelekter Tallinnas — Mr.Car | Elektrisüsteemide remont",57,115,https://www.mrcar.ee/services/elektritood,Autoelekter,11,Да,Нет,"Autoelektri remont Mr.Car-is",28,Нет,,Dofollow,21,21,25,4
https://mrcar.ee/services/mootoriremont,4,,200,Нет,Non-canonical,18,2,,https,Нет,"Mootori remont Tallinnas — Mr.Car Autoteenindus",47,122,https://www.mrcar.ee/services/mootoriremont,"Mootori remont",14,Да,Нет,"Mootori remont Mr.Car-is",24,Нет,,Dofollow,22,22,25,4
