"URL-адрес страницы",Ошибки,"Общий траффик","Код ответа сервера страницы","Можно проиндексировать","Статус индексируемости","Ссылающиеся страницы",Глубина,"Ключевых слов","Протокол URL",Блокировка,Title,"Длина Title","Длина Description","Каноническая ссылка",H1,"Длина H1","Единственный H1","Дублирующийся H1",H2,"Длина H2","Единственный H2","Время переадресации Refresh",Nofollow/Dofollow,"Внутренние ссылки на страницу",Dofollow-ссылки,"Внутренние ссылки со страницы","Внешние ссылки со страницы"
https://www.mrcar.ee/,8,34,200,Да,Ок,55,1,37,https,Нет,"Autoremont Tallinnas — Mr.Car Autoteenindus | Diagnostika, Rehvitööd, Hooldus",77,197,https://www.mrcar.ee/,"Mr.Carautoremont Tallinn",24,Да,Нет,"Professionaalne autoremont ja autohooldus Tallinnas",51,Нет,,Dofollow,167,167,62,6
https://www.mrcar.ee/hinnad,8,3,200,Да,Ок,12,2,5,https,Нет,"Hinnakiri — Mr.Car Autoteenindus Tallinnas | Remont, Diagnostika, Rehvitööd",75,163,https://www.mrcar.ee/hinnad,Hinnakiri,9,Да,Нет,"Broneeri aeg",12,Да,,Dofollow,23,23,31,1
https://www.mrcar.ee/ru/services/rehvitood,9,,200,Да,Ок,18,1,,https,Нет,"Шиномонтаж в Таллинне — Mr.Car | от €20",39,117,https://www.mrcar.ee/ru/services/rehvitood,Шиномонтаж,10,Да,Нет,"Шиномонтаж в Mr.Car",19,Нет,,Dofollow,22,22,25,4
https://www.mrcar.ee/ru/tseny,7,,200,Да,Ок,18,2,,https,Нет,"Цены — Автосервис Mr.Car в Таллинне | Ремонт, Диагностика, Шиномонтаж",69,156,https://www.mrcar.ee/ru/tseny,Цены,4,Да,Нет,Записаться,10,Да,,Dofollow,31,31,31,1
https://www.mrcar.ee/services/webasto-diagnostika,6,,200,Да,Ок,18,2,,https,Нет,"Webasto diagnostika ja remont Tallinnas Mr.Car Autoteenindus",60,196,https://www.mrcar.ee/services/webasto-diagnostika,"Webasto diagnostika ja remont Tallinnas",39,Да,Нет,"Broneeri aeg",12,Нет,,Dofollow,31,31,36,2
https://www.mrcar.ee/en/prices,8,,200,Да,Ок,17,2,,https,Нет,"Prices — Mr.Car Auto Service in Tallinn | Repair, Diagnostics, Tire Service",75,163,https://www.mrcar.ee/en/prices,Prices,6,Да,Нет,"Book an                     Appointment",39,Да,,Dofollow,26,26,31,1
https://www.mrcar.ee/services/webasto-sumptomid,6,,200,Да,Ок,1,3,,https,Нет,"Webasto sümptomid ja vead — Millal pöörduda Mr.Car Tallinnas?",61,178,https://www.mrcar.ee/services/webasto-sumptomid,"Webasto sümptomid ja vead",25,Да,Нет,"Millal tasub Webasto üle kontrollida?",37,Нет,,Dofollow,8,8,37,2
https://www.mrcar.ee/ru/services/shinomontazh,8,,200,Да,Ок,0,1,,https,Нет,"Шиномонтаж в Таллинне — Mr.Car | от €20",39,112,https://www.mrcar.ee/ru/services/shinomontazh,"Шиномонтажные работы",20,Да,Нет,"Шиномонтаж в Mr.Car",19,Нет,,Dofollow,3,3,33,3
